NOC 2021 Code,Occupation Title,Occupation Summary
10030,Telecommunication carriers managers,"Telecommunication carriers managers plan, organize, direct, control and evaluate the operations of a telecommunications establishment, department or facility. They are employed by wired, wireless, satellite and other telecommunications carriers."
11100,Financial auditors and accountants,"Financial auditors examine and analyze the accounting and financial records of individuals and establishments to ensure accuracy and compliance with established accounting standards and procedures. Accountants plan, organize and administer accounting systems for individuals and establishments. They are employed by private sector accounting and auditing firms or departments and public sector accounting and auditing departments or units, or they may be self-employed. Articling students in accounting firms are included in this unit group."
11101,Financial and investment analysts,"Financial and investment analysts collect and analyze financial information such as economic forecasts, trading volumes and the movement of capital, financial backgrounds of companies, historical performances and future trends of stocks, bonds and other investment instruments to provide financial and investment or financing advice for their company or their company's clients. Their studies and evaluations cover areas such as takeover bids, private placements, mergers or acquisitions. Financial analysts are employed by a wide range of establishments throughout the private and public sector, such as banks, brokerage houses, insurance companies, investment companies, manufacturing firms, trust companies, utility companies and underwriting firms. Investment analysts are employed primarily by brokerage houses and fund management companies."
11102,Financial advisors,"Financial advisors counsel individuals on financial decisions such as investments, cash management, and estate planning. They establish personal financial plans according to clients' objectives and guide them through the implementation of the proposed strategies that may be adjusted as the situation evolve. They are employed by banks, trust companies and investment firms, or they may be self-employed."
11103,"Securities agents, investment dealers and brokers","Securities agents and investment dealers buy and sell stocks, bonds, treasury bills, mutual funds and other securities for individual investors, pension fund managers, banks, trust companies, insurance firms and other establishments. Brokers buy and sell stocks, bonds, commodity futures, foreign currencies and other securities at stock exchanges on behalf of investment dealers. They are employed by investment companies, stock brokerage firms, stock and commodity exchanges and other establishments in the securities industry."
11109,Other financial officers,"Other financial officers include professional occupations in finance such as financial examiners and inspectors, financial investigators, financial underwriters, mortgage brokers and trust officers. They are employed by banks, trust companies, investment firms and governments, or they may be self-employed."
11200,Human resources professionals,"Human resources professionals develop, implement and evaluate human resources and labour relations policies, programs and procedures and advise employers and employees on human resources matters. They are employed throughout the public and private sectors, or they may be self-employed."
11201,Professional occupations in business management consulting,"Professionals in business management consulting occupations provide services to management such as analyzing the structure, operations, managerial methods or functions of an organization in order to propose, plan and implement improvements. They are employed by management consulting firms and throughout the public and private sectors or are self-employed."
11202,"Professional occupations in advertising, marketing and public relations","Professional occupations in advertising, marketing and public relations analyse, develop and implement communication and promotion strategies and information programs; analyse advertising needs and develop appropriate advertising and marketing plans; publicize activities and events, and maintain media relations on behalf of businesses, governments and other organizations, and for performers, athletes, writers and other talented individuals. They are employed by marketing and consulting firms, advertising agencies, corporations, associations, government, social agencies, museums, galleries, public interest groups, and cultural and other organizations, or they may be self-employed. Agents such as entertainment, literary and sports agents are included in this unit group."
12010,"Supervisors, general office and administrative support workers","Supervisors of general office and administrative support workers supervise and coordinate the activities of workers in the following minor groups: Office support and court services occupations (1410) and Survey, statistical and data entry occupations (1411). They are employed throughout the public and private sectors."
12011,"Supervisors, finance and insurance office workers","Supervisors of finance and insurance office workers supervise and coordinate the activities of workers in the following unit groups: Payroll administrators (13102), Accounting and related clerks (14200), Banking, insurance and other financial clerks (14201) and Collection clerks (14202). They are employed by banks and other financial institutions, insurance companies, and by other establishments throughout the public and private sectors."
12012,"Supervisors, library, correspondence and related information workers","Supervisors of library, correspondence and related information workers supervise and coordinate the activities of workers in the following unit groups: Survey interviewers and statistical clerks (14110), Library assistants and clerks (14300), and Correspondence, publication and regulatory clerks (14301). They are employed throughout the public and private sectors."
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations","Supervisors of supply chain, tracking and scheduling coordination occupations supervise the activities of workers in unit group 13201 Production and transportation logistics coordinators and in sub-major group 144: Supply chain logistics, tracking and scheduling coordination occupations. They are employed throughout the public and private sectors."
12100,Executive assistants,"Executive assistants coordinate administrative procedures, public relations activities and research and analysis functions for members of legislative assemblies, ministers, deputy ministers, corporate officials and executives, committees and boards of directors. They are employed by governments, corporations and associations."
12101,Human resources and recruitment officers,"Human resources and recruitment officers identify and advertise job vacancies, recruit candidates, and assist in the selection and reassignment of employees. They are employed throughout the private and public sectors."
12102,Procurement and purchasing agents and officers,"Procurement and purchasing agents and officers source and purchase general and specialized equipment, materials, business services and land or access rights for use or for further processing by their establishment. They are employed throughout the public and private sectors."
12103,Conference and event planners,"Conference and event planners plan, organize and coordinate conferences, conventions, meetings, seminars, exhibitions, trade shows, festivals and other events. They are employed by tourism associations, trade and professional associations, convention and conference centres, governments and by conference and event planning companies, or they may be self-employed."
12104,Employment insurance and revenue officers,"Employment insurance and revenue officers administer and enforce laws and regulations related to tax revenue, employment insurance and other government benefit services. They are employed by government agencies."
12110,"Court reporters, medical transcriptionists and related occupations","Court reporters record and transcribe verbatim the proceedings of courts, legislative assemblies and committees, and prepare transcripts for use by judges, tribunals and quasi-judicial panels. They are employed by courts of law, provincial and federal legislative assemblies and committees, or they may be self-employed. Medical transcriptionists record, transcribe and edit dictation by physicians and other health care providers, surgical proceedings, health-related reports and other medical documentation. They are employed by hospitals, medical clinics and doctors' offices, or they may be self-employed. Closed captioners, braille technicians and other transcriptionists are included in this unit group."
12111,Health information management occupations,"Health information management workers collect, code, record, review and manage health information. They are employed by hospitals, clinics, workplace health and safety boards, health record consulting firms and other health care establishments. Health information management workers who are supervisors are included in this unit group."
12112,Records management technicians,"Records management technicians operate and maintain systems for the collection, classification, retrieval and retention of records, images, documents and information. They are employed throughout the private and public sectors."
12113,Statistical officers and related research support occupations,"Statistical officers and workers in related research support occupations provide statistical and research support services to a wide range of businesses and organizations. These workers conduct statistical routines, monitor trends, compile data and prepare charts, graphs, summaries and reports in support of organizational information needs and research activities. They are employed throughout the public and private sectors. Statistical officers who are also supervisors are included in this unit group."
12200,Accounting technicians and bookkeepers,"Accounting technicians and bookkeepers maintain complete sets of books, keep records of accounts, verify the procedures used for recording financial transactions, and provide personal bookkeeping services. They are employed throughout the private and public sectors, or they may be self-employed."
12201,Insurance adjusters and claims examiners,Insurance adjusters investigate insurance claims and determine the amount of loss or damages covered by insurance policies. They are employed in claims departments of insurance companies or as independent adjusters. Insurance claims examiners examine claims investigated by insurance adjusters and authorize payments. They are employed at head offices or branches of insurance companies.
12202,Insurance underwriters,"Insurance underwriters review and evaluate insurance applications to determine insurance risks, insurance premiums and extent of insurance coverage according to company policies. They are employed at head and branch offices of insurance companies."
12203,"Assessors, business valuators and appraisers","Assessors and appraisers determine the value of land, businesses, estates and other real property, for purposes of sale, purchase, taxation or disposal of assets. Appraisers also determine the value of personal and household items. Business valuators quantify the value of a business, its securities or its intangible assets. Assessors, business valuators and appraisers are employed by government agencies, real estate firms and other private companies, or they may be self-employed."
13100,Administrative officers,"Administrative officers oversee and implement administrative procedures, establish work priorities, conduct analyses of administrative operations and coordinate acquisition of administrative services such as office space, supplies and security services. They are employed throughout the public and private sectors. Administrative officers who are supervisors are included in this unit group."
13101,Property administrators,"Property administrators perform administrative duties and coordinate activities related to the management and rental of investment property and real estate on behalf of property and strata property owners. They are employed by property, real estate and strata services management companies, property development companies and by government."
13102,Payroll administrators,"Payroll administrators collect, verify and process payroll information, determine pay and benefit entitlements for employees, maintain accurate payroll records, and provide payroll information within a department, company or other establishment. They are employed by payroll administration companies and by establishments throughout the public and private sectors."
13110,Administrative assistants,Administrative assistants perform a variety of administrative duties in support of managerial and professional employers. They are employed throughout the public and private sectors.
13111,Legal administrative assistants,"Legal administrative assistants perform a variety of secretarial and administrative duties in law offices, legal departments of large firms, real estate companies, land title offices, municipal, provincial and federal courts and government."
13112,Medical administrative assistants,"Medical administrative assistants perform a variety of secretarial and administrative duties in doctor's offices, hospitals, medical clinics and other medical settings."
13200,"Customs, ship and other brokers","Customs brokers clear goods through customs and to their destination on behalf of importer and exporter clients. Shipbrokers buy and sell cargo space on ships and buy and sell ships, yachts and other watercraft on behalf of clients. This unit group also includes other brokers who negotiate commercial transactions, logistics or other services, not elsewhere classified, between parties on behalf of clients. They are employed by customs, ship or other brokerage establishments or may be self-employed."
13201,Production and transportation logistics coordinators,"Production logistics coordinators coordinate and expedite the flow of work within an establishment, prepare work and production schedules and monitor the progress of production and construction projects. Transportation logistics coordinators coordinate and monitor the movement of products and ensure that products are shipped and received on schedule. They are employed by manufacturing and construction companies and other industrial establishments."
14100,General office support workers,"General office support workers prepare correspondence, reports, statements and other material, operate office equipment, answer telephones, verify, record and process forms and documents such as contracts and requisitions and perform general clerical duties according to established procedures. They are employed in offices throughout the public and private sectors."
14101,Receptionists,"Receptionists greet people arriving at offices, hospitals and other establishments, direct visitors to appropriate person or service, answer and forward telephone calls, take messages, schedule appointments and perform other clerical duties. They are employed by hospitals, medical and dental offices and other offices throughout the public and private sectors. Telephone operators are included in this group."
14102,Personnel clerks,"Personnel clerks assist personnel officers and human resources specialists and compile, maintain and process information relating to staffing, recruitment, training, labour relations, performance evaluations and classifications. They are employed in personnel departments throughout the private and public sectors."
14103,Court clerks and related court services occupations,"Court clerks and workers in related court services occupations perform administrative, security, and other support functions for courts of law such as scheduling trials, processing service fees, calling court to order, preparing court dockets and maintaining exhibits, recording trial proceedings and maintaining court records. They also facilitate court security and public safety, liaise with law enforcement organizations, and provide support to the judiciary. They are employed by federal, provincial, territorial and municipal courts and by police forces."
14110,Survey interviewers and statistical clerks,"Survey interviewers contact individuals to gather information for market research, public opinion polls or election and census enumeration. Statistical clerks code and compile interview and other data into reports, lists, directories and other documents. They are employed by market research and polling firms, government departments and agencies, utility companies, contact centres and other establishments. This unit group also includes clerks who observe and record information on traffic flow."
14111,Data entry clerks,"Data entry clerks input coded, statistical, financial and other information into computerized databases, spreadsheets or other templates using a keyboard, mouse, or optical scanner, speech recognition software or other data entry tools. They are employed in the private and public sectors."
14112,Desktop publishing operators and related occupations,"Desktop publishing operators and workers in related occupations use computers to enter copy into a typesetting system or operate typesetting output equipment to produce text that is ready to print. They are employed by firms that specialize in typesetting, commercial printing companies, publishing and printing companies and various establishments in the public and private sectors that have in-house printing departments."
14200,Accounting and related clerks,"Accounting and related clerks calculate, prepare and process bills, invoices, accounts payable and receivable, budgets and other financial records according to established procedures. They are employed throughout the private and public sectors."
14201,"Banking, insurance and other financial clerks","Banking, insurance and other financial clerks compile, process and maintain banking, insurance and other financial information. They are employed by banks, credit companies, private and public insurance establishments, investment firms and other financial establishments throughout the private and public sectors."
14202,Collection clerks,"Collection clerks collect payments on overdue accounts and bad cheques and locate debtors to make collection arrangements. They are employed by collection agencies, utility companies, department stores, loan companies, banks and credit unions, and by financial and licensing departments within governments."
14300,Library assistants and clerks,"Library assistants and clerks issue and receive library materials, sort and shelve books and provide general library information to users. They also perform clerical functions. Library clerks are employed by libraries or other establishments with library services."
14301,"Correspondence, publication and regulatory clerks","Correspondence, publication and regulatory clerks write correspondence, proofread material for accuracy, compile material for publication, verify, record and process forms and documents, such as applications, licences, permits, contracts, registrations and requisitions, and perform other related clerical duties in accordance with established procedures, guidelines and schedules. They are employed by newspapers, periodicals, publishing firms and by establishments throughout the private and public sectors."
14400,Shippers and receivers,"Shippers and receivers ship, receive and record the movement of parts, supplies, materials, equipment and stock to and from an establishment. They are employed in the public sector and by retail and wholesale establishments, manufacturing companies, and other commercial and industrial establishments."
14401,Storekeepers and partspersons,"Storekeepers and partspersons sort, store and issue parts and supplies for use by the establishment in which they work and for sale to the public. They are employed by manufacturing companies, warehouses, retail and wholesale establishments, mining, forestry and construction companies, repair shops, hospitals and other establishments. Apprentices are also included in this unit group."
14402,Production logistics workers,"Production logistics workers expedite the flow of work and materials within an establishment and prepare merchandise ready for shipment. They are employed by manufacturing and construction companies, printing and publishing companies and other industrial establishments."
14403,Purchasing and inventory control workers,"Purchasing and inventory control workers process purchasing transactions and maintain inventories of materials, equipment and stock. They are employed by retail and wholesale establishments, manufacturing companies, government agencies and other establishments."
14404,Dispatchers,"Dispatchers operate radios and other telecommunication equipment to dispatch emergency vehicles and to coordinate the activities of drivers and other personnel. They are employed by police, fire and health departments, other emergency service agencies, taxi, delivery and courier services, trucking and utilities companies, and other commercial and industrial establishments."
14405,Transportation route and crew schedulers,"Transportation route and crew schedulers prepare operational and crew schedules for transportation equipment and operating personnel. They are employed by municipal transit commissions, truck, delivery and courier companies, railways, airlines and by other transportation establishments in both the private and public sectors."
20010,Engineering managers,"Engineering managers plan, organize, direct, control and evaluate the activities of an engineering department, service or firm. They are employed by a wide range of private sector and government establishments and by consulting engineering and scientific research companies."
20011,Architecture and science managers,"Architecture and science managers plan, organize, direct, control and evaluate the activities of an architecture, landscape architecture, scientific or statistical department, service or firm. They are employed by a wide range of private sector and government establishments as well as by architectural firms and scientific research companies."
20012,Computer and information systems managers,"Computer and information systems managers plan, organize, direct, control and evaluate the activities of organizations that analyze, design, develop, implement, operate and administer computer and telecommunications software, networks and information systems. They are employed throughout the public and private sectors."
21100,Physicists and astronomers,"Physicists conduct theoretical and applied research to extend knowledge of natural phenomena and to develop new processes and devices in fields such as electronics, communications, power generation and distribution, aerodynamics, optics and lasers, remote sensing, biotechnology, medicine and health. They are employed by electronic, electrical and aerospace manufacturing companies, telecommunications companies, power utilities, university and government research laboratories, hospitals and by a wide range of other processing, manufacturing, and research and consulting firms. Astronomers conduct observational and theoretical research to extend knowledge of the universe. They are employed by government and universities."
21101,Chemists,"Chemists conduct research and analysis in support of industrial operations, product and process development, quality control, environmental control, medical diagnosis and treatment, biotechnology, nanotechnology and other applications. They also conduct theoretical, experimental and applied research into basic chemical and biochemical processes to create or synthesize new products and processes. They are employed in research, development and quality control laboratories; chemical, petrochemical and pharmaceutical industries; mineral, metal and pulp and paper industries; and a wide variety of manufacturing, utility, health, educational and government establishments."
21102,Geoscientists and oceanographers,"Geoscientists include geologists, geochemists and geophysicists who conduct programs of exploration and research to extend knowledge of the structure, composition and processes of the earth, to locate, identify and extract hydrocarbon, mineral and groundwater resources and to assess and mitigate the effects of development and waste disposal projects on the environment. Oceanographers conduct programs of exploration and research on ocean processes and phenomena, biological, chemical and physical characteristics of oceans, interactions with atmospheric and geological environments and impacts of human activity on oceans and marine ecosystems. Geoscientists are employed by petroleum and mining companies, consulting geology, geophysics and engineering firms and by governments and educational institutions, or they may be self-employed. Oceanographers are employed by governments, educational institutions and private companies engaged in exploration of seafloor deposits and seafarming areas, or they may be self-employed."
21103,Meteorologists and climatologists,"Meteorologists and climatologists analyze and forecast weather, provide consultation on atmospheric phenomena and conduct research into the processes and phenomena of weather, climate and atmosphere. They are employed by all levels of government, natural resources and utility companies, the media and private consulting firms, or they may be self-employed."
21109,Other professional occupations in physical sciences,"Professionals in other physical sciences occupations conduct theoretical and applied research in fields of physical science. Metallurgists, soil scientists and physical scientists and researchers are included in this unit group. They are employed by governments, educational institutions and a wide range of industrial establishments."
21110,Biologists and related scientists,"Biologists and related scientists conduct basic and applied research to extend knowledge of living organisms, to manage natural resources, and to develop new practices and products related to medicine and agriculture. They are employed in both laboratory and field settings by governments, environmental consulting companies, resource and utilities companies, chemical, pharmaceutical, biotechnical companies, hospitals and health, research and educational institutions."
21111,Forestry professionals,"Forestry professionals conduct research, develop plans and administer and direct programs related to the management and harvesting of forest resources. They are employed by the forest industry, provincial and federal governments, consulting companies, educational institutions and other industries, or they may be self-employed."
21112,"Agricultural representatives, consultants and specialists","Agricultural representatives, consultants and specialists provide assistance and advice to farmers on all aspects of farm management, cultivation, fertilization, harvesting, soil erosion and composition, disease prevention, nutrition, crop rotation and marketing. They are employed by businesses, institutions and governments that assist the farming community, or they may be self-employed."
21120,Public and environmental health and safety professionals,"Public and environmental health and safety professionals review, evaluate and monitor public health and environmental safety hazards and develop strategies to prevent, control and eliminate disease and environmental impact caused by biological and chemical factors. They inspect restaurants, industrial establishments, municipal water systems, public facilities and institutions to ensure compliance with government regulations regarding sanitation, pollution control and the handling and storage of hazardous substances. They are employed throughout the public and private sectors."
21200,Architects,"Architects conceptualize, plan and develop designs for the construction and renovation of commercial, institutional and residential buildings. They are employed by architectural firms, private corporations and governments, or they may be self-employed."
21201,Landscape architects,"Landscape architects conceptualize, design, plan and manage the construction of natural, cultural and built landscape development for commercial projects, office complexes, parks, golf courses and residential development. They are employed by government environmental and development agencies, landscape consulting firms and by architectural and engineering firms, or they are self-employed."
21202,Urban and land use planners,"Urban and land use planners develop plans and recommend policies for managing land use, physical facilities and associated services for urban and rural areas and remote regions. They are employed by all levels of government, land developers, engineering and other consulting companies, or may work as private consultants."
21203,Land surveyors,"Land surveyors plan, direct and conduct legal surveys to establish the location of real property boundaries, contours and other natural or human-made features, and prepare and maintain cross-sectional drawings, official plans, records and documents pertaining to these surveys. They are employed by federal, provincial and municipal governments, private sector land surveying establishments, real estate development, natural resource, engineering and construction firms, or they may be self-employed."
21210,"Mathematicians, statisticians and actuaries","Mathematicians and statisticians research mathematical or statistical theories, and develop and apply mathematical or statistical techniques for solving problems in such fields as science, engineering, business and social science. Actuaries apply mathematics, statistics, probability and risk theory to assess potential financial impacts of future events. Mathematicians, statisticians and actuaries are employed by universities, governments, bank and trust companies, insurance companies, pension benefit consulting firms, professional associations, and science and engineering consulting firms."
21211,Data scientists,"Data scientists use advanced analytics technologies, including machine learning and predictive modelling, to support the identification of trends, scrape information from unstructured data sources and provide automated recommendations. They are employed by consulting firms, universities, banks and information technology departments in the public and private sectors."
21220,Cybersecurity specialists,"Cybersecurity specialists develop, plan, recommend, implement, improve and monitor security measures to protect an organization's computer networks, connected devices and information to prevent unauthorized access, use, disclosure, disruption, modification, or destruction of the information or of the systems on which the information resides. They are employed in information technology consulting firms and in information technology units throughout the public and private sectors."
21221,Business systems specialists,"Business systems specialists perform detailed system tests, produce reports and develop new system architectures. They must also identify the strategic objectives of a company and translate these objectives into achievable tasks for an organization's information technology department. They are employed in information technology consulting firms and in information technology units throughout the public and private sectors."
21222,Information systems specialists,"Information systems specialists analyze, test and assess systems requirements, develop and implement information systems development plans, policies and procedures, and provide advice on a wide range of information systems issues. They are employed in information technology consulting firms and in information technology units throughout the public and private sectors, or they may be self-employed."
21223,Database analysts and data administrators,"Database analysts design, develop and administer data management solutions. Data administrators develop and implement data administration policy, standards and models. They are employed in information technology consulting firms and in information technology units throughout the public and private sectors."
21230,Computer systems developers and programmers,"Computer systems developers and programmers write, modify, integrate and test computer code for software applications, data processing applications, operating systems-level software and communications software. They are employed in computer software development firms, information technology consulting firms, and in information technology units throughout the public and private sectors."
21231,Software engineers and designers,"Software engineers and designers research, design, evaluate, integrate and maintain software applications, technical environments, operating systems, embedded software, information warehouses and telecommunications software. They are employed in information technology consulting firms, information technology research and development firms, and information technology units throughout the private and public sectors, or they may be self-employed."
21232,Software developers and programmers,"Software developers and programmers design, write, and test code for new systems and software to ensure efficiency. They create the foundations for operative systems and run diagnostic programs to certify effectiveness. They are employed in computer software, computer and video game development firms, information technology consulting firms, and in information technology units throughout the public and private sectors."
21233,Web designers,"Web designers develop and create the visual presentation, layout and functionality of websites and related applications. They are responsible for ensuring that the website is easy to use, and that the information is easy to access. Web designers are employed in computer software development firms, information technology consulting firms, information technology units throughout the public and private sectors, advertising agencies or they may be self-employed."
21234,Web developers and programmers,"Web developers and programmers use a variety of programming languages to design, create and modify websites. They analyze users' needs to implement content, graphics, performance, and website capacity. They may also integrate websites with other computer applications. They are employed in computer software development firms, information technology consulting firms, information technology units throughout the public and private sectors, advertising agencies or they may be self-employed."
21300,Civil engineers,"Civil engineers plan, design, develop and manage projects for the construction or repair of buildings, earth structures, powerhouses, roads, airports, railways, rapid transit facilities, bridges, tunnels, canals, dams, ports and coastal installations and systems related to highway and transportation services, water distribution and sanitation. Civil engineers may also specialize in foundation analysis, building and structural inspection, surveying, geomatics and municipal planning. They are employed by engineering consulting companies, in all levels of government, by construction firms and in many other industries, or they may be self-employed."
21301,Mechanical engineers,"Mechanical engineers research, design and develop machinery and systems for heating, ventilating and air conditioning, power generation, transportation, processing and manufacturing. They also perform duties related to the evaluation, installation, operation and maintenance of mechanical systems. They are employed by consulting firms, by power-generating utilities and in a wide range of manufacturing, processing and transportation industries, or they may be self-employed."
21310,Electrical and electronics engineers,"Electrical and electronics engineers design, plan, research, evaluate and test electrical and electronic equipment and systems. They are employed by electrical utilities, communications companies, manufacturers of electrical and electronic equipment, consulting firms, and by a wide range of manufacturing, processing and transportation industries and government."
21311,Computer engineers (except software engineers and designers),"Computer engineers (except software engineers and designers) research, plan, design, develop, modify, evaluate and integrate computer and telecommunications hardware and related equipment, and information and communication system networks including mainframe systems, local and wide area networks, fibre-optic networks, wireless communication networks, intranets, the Internet and other data communications systems. They are employed by computer and telecommunication hardware manufacturers, by engineering, manufacturing and telecommunications firms, in information technology consulting firms, by governmental, educational and research institutions and in information technology units throughout the private and public sectors."
21320,Chemical engineers,"Chemical engineers research, design, and develop chemical processes and equipment, oversee the operation and maintenance of industrial chemical, plastics, pharmaceutical, resource, pulp and paper, and food processing plants and perform duties related to chemical quality control, environmental protection and biochemical or biotechnical engineering. They are employed in a wide range of manufacturing and processing industries, consulting firms, government, research and educational institutions."
21321,Industrial and manufacturing engineers,"Industrial and manufacturing engineers conduct studies, and develop and supervise programs to achieve the best use of equipment, human resources, technology, materials and procedures to enhance efficiency and productivity. They are employed in consulting firms, manufacturing and processing companies, in government, financial, health care and other institutions, or they may be self-employed."
21322,Metallurgical and materials engineers,"Metallurgical and materials engineers conduct studies of the properties and characteristics of metals and other non-metallic materials and plan, design and develop machinery and processes to concentrate, extract, refine and process metals, alloys and other materials such as ceramics, semiconductors and composite materials. They are employed in consulting engineering firms, mining, metal processing and manufacturing companies, and in government, research and educational institutions."
21330,Mining engineers,"Mining engineers plan, design, organize and supervise the development of mines, mine facilities, systems and equipment; and prepare and supervise the extraction of metallic or non-metallic minerals and ores from underground or surface mines. They are employed by mining companies, consulting engineering companies, manufacturers, government and in educational and research institutions."
21331,Geological engineers,"Geological engineers conduct geological and geotechnical studies to assess suitability of locations for civil engineering, mining and oil and gas projects; and plan, design, develop and supervise programs of geological data acquisition and analysis and the preparation of geological engineering reports and recommendations. They are employed in consulting engineering companies, electrical utilities, mining and petroleum companies and in government and research and educational institutions."
21332,Petroleum engineers,"Petroleum engineers conduct studies for the exploration, development and extraction of oil and gas deposits; and plan, design, develop and supervise projects for the drilling, completion, testing and re-working of oil and gas wells. They are employed by petroleum producing companies, consulting companies, well logging or testing companies, government, and research and educational institutions."
